date,open,high,low,close,volume,adjrate
1980-01-02,1.218598,1.235609,1.218598,1.220727,1165600,0.017014
1980-01-03,1.212217,1.212217,1.19308,1.203711,1453600,0.017014
1980-01-04,1.205836,1.224977,1.205836,1.224977,1382400,0.017014
1980-01-07,1.224977,1.235608,1.218597,1.218597,1087200,0.017014
1980-01-08,1.218597,1.229229,1.173935,1.173935,1213200,0.017014
1980-01-09,1.173935,1.1867,1.139912,1.165429,9965200,0.017014
1980-01-10,1.165429,1.167558,1.156923,1.156923,5922400,0.017014
1980-01-11,1.156924,1.163304,1.152669,1.159053,5394400,0.017014
1980-01-14,1.159053,1.1867,1.159053,1.182445,4000000,0.017014
1980-01-15,1.190951,1.220727,1.190951,1.220727,1886800,0.017014
1980-01-16,1.224978,1.239864,1.224978,1.231358,5077600,0.017014
1980-01-17,1.231358,1.235609,1.224978,1.231358,1208800,0.017014
1980-01-18,1.231357,1.254749,1.231357,1.248373,1122800,0.017014
1980-01-21,1.261131,1.282397,1.261131,1.282397,1487200,0.017014
1980-01-22,1.282397,1.305793,1.278146,1.288777,1380000,0.017014
1980-01-23,1.288776,1.297286,1.280271,1.286651,899200,0.017014
1980-01-24,1.33344,1.352581,1.33344,1.335565,2329200,0.017014
1980-01-25,1.331314,1.331314,1.314299,1.324934,863600,0.017014
1980-01-28,1.324934,1.341945,1.318549,1.331314,1727200,0.017014
1980-01-29,1.331314,1.350455,1.331314,1.331314,949200,0.017014
1980-01-30,1.331314,1.335565,1.327059,1.331314,701600,0.017014
1980-01-31,1.331314,1.350455,1.318549,1.318549,987200,0.017014
1980-02-01,1.318549,1.333439,1.318549,1.333439,623200,0.017014
1980-02-04,1.333439,1.344071,1.201582,1.331314,758800,0.017014
1980-02-05,1.33982,1.399364,1.33982,1.399364,1955600,0.017014
1980-02-06,1.424885,1.522716,1.424885,1.471673,3205200,0.017014
1980-02-07,1.471673,1.57801,1.471673,1.565249,8009200,0.017014
1980-02-08,1.565249,1.637558,1.51421,1.633303,3726000,0.017014
1980-02-11,1.633304,1.667331,1.599277,1.605657,4266400,0.017014
1980-02-12,1.603531,1.603531,1.560994,1.595025,3612000,0.017014
1980-02-13,1.595025,1.603531,1.57801,1.599276,2558000,0.017014
