date,open,high,low,close,volume,adjrate
1993-11-09,1.4375,1.53125,1.3125,1.48438,30484800,0.0625
1993-11-10,1.53125,1.5625,1.48438,1.51562,4755200,0.0625
1993-11-11,1.53125,1.54688,1.46875,1.46875,3801600,0.0625
1993-11-12,1.46875,1.54688,1.46875,1.54688,2022400,0.0625
1993-11-15,1.54688,1.54688,1.48438,1.48438,1624000,0.0625
1993-11-16,1.51562,1.51562,1.4375,1.45312,1230400,0.0625
1993-11-17,1.48438,1.5,1.4375,1.46875,1921600,0.0625
1993-11-18,1.46875,1.5,1.46875,1.5,516800,0.0625
1993-11-19,1.46875,1.51562,1.46875,1.48438,1836800,0.0625
1993-11-22,1.46875,1.5,1.46875,1.49219,1158400,0.0625
1993-11-23,1.5,1.51562,1.46875,1.51562,1180800,0.0625
1993-11-24,1.51562,1.65625,1.48438,1.65625,1592000,0.0625
1993-11-26,1.6875,1.85938,1.64062,1.83594,1614400,0.0625
1993-11-29,1.875,1.90625,1.82812,1.89062,1024000,0.0625
1993-11-30,1.85938,1.90625,1.85938,1.85938,744000,0.0625
1993-12-01,1.90625,1.98438,1.85938,1.9375,1331200,0.0625
1993-12-02,1.9375,1.98438,1.90625,1.9375,1246400,0.0625
1993-12-03,1.89062,1.92969,1.79688,1.84375,1988800,0.0625
1993-12-06,1.78125,1.8125,1.75,1.75,366400,0.0625
1993-12-07,1.75,1.79688,1.70312,1.71875,371200,0.0625
1993-12-08,1.71875,1.76562,1.71875,1.71875,337600,0.0625
1993-12-09,1.71875,1.76562,1.625,1.625,1227200,0.0625
1993-12-10,1.625,1.67188,1.57812,1.60938,456000,0.0625
1993-12-13,1.64062,1.64062,1.5625,1.60938,688000,0.0625
1993-12-14,1.60938,1.60938,1.53125,1.53125,811200,0.0625
1993-12-15,1.51562,1.60938,1.51562,1.60938,478400,0.0625
1993-12-16,1.59375,1.625,1.5,1.50781,1118400,0.0625
1993-12-17,1.5,1.53125,1.46875,1.51562,464000,0.0625
1993-12-20,1.51562,1.53125,1.5,1.5,630400,0.0625
1993-12-21,1.53125,1.53125,1.46875,1.48438,1171200,0.0625
1993-12-22,1.46875,1.5,1.39062,1.39844,676800,0.0625
1993-12-23,1.39062,1.4375,1.3125,1.33594,1494400,0.0625
1993-12-27,1.35938,1.51562,1.32812,1.5,2668800,0.0625
1993-12-28,1.51562,1.54688,1.5,1.5,824000,0.0625
1993-12-29,1.54688,1.54688,1.46875,1.53125,1563200,0.0625
1993-12-30,1.53125,1.64062,1.48438,1.60938,1225600,0.0625
1993-12-31,1.59375,1.70312,1.59375,1.67188,1006400,0.0625
1994-01-03,1.64062,1.6875,1.57812,1.57812,731200,0.0625
1994-01-04,1.57812,1.625,1.57812,1.625,363200,0.0625
1994-01-05,1.57812,1.57812,1.57812,1.57812,30400,0.0625
1994-01-06,1.59375,1.67188,1.59375,1.64062,491200,0.0625
1994-01-07,1.67188,1.67188,1.57812,1.57812,587200,0.0625
1994-01-10,1.57812,1.625,1.57812,1.57812,275200,0.0625
1994-01-11,1.57812,1.58594,1.5,1.53125,755200,0.0625
1994-01-12,1.54688,1.57812,1.5,1.57812,372800,0.0625
1994-01-13,1.57812,1.57812,1.54688,1.54688,142400,0.0625
1994-01-14,1.57812,1.57812,1.54688,1.57812,176000,0.0625
1994-01-17,1.54688,1.5625,1.53125,1.53125,771200,0.0625
1994-01-18,1.5625,1.5625,1.53125,1.55469,233600,0.0625
1994-01-19,1.5625,1.5625,1.5,1.5,616000,0.0625
1994-01-20,1.53125,1.53125,1.45312,1.5,494400,0.0625
1994-01-21,1.48438,1.5,1.46875,1.46875,240000,0.0625
1994-01-24,1.5,1.5,1.42188,1.4375,520000,0.0625
1994-01-25,1.42188,1.45312,1.40625,1.42188,188800,0.0625
1994-01-26,1.45312,1.45312,1.40625,1.40625,110400,0.0625
1994-01-27,1.45312,1.51562,1.42188,1.51562,3190400,0.0625
1994-01-28,1.54688,1.60938,1.53125,1.60938,1284800,0.0625
1994-01-31,1.625,1.625,1.59375,1.625,363200,0.0625
1994-02-01,1.64062,1.64062,1.57812,1.57812,284800,0.0625
1994-02-02,1.625,1.625,1.57812,1.57812,97600,0.0625
1994-02-03,1.57812,1.59375,1.53125,1.54688,449600,0.0625
1994-02-04,1.57812,1.57812,1.4375,1.4375,3416000,0.0625
1994-02-07,1.42188,1.46875,1.39062,1.42188,1028800,0.0625
1994-02-08,1.4375,1.46875,1.40625,1.4375,768000,0.0625
1994-02-09,1.46875,1.51562,1.46875,1.51562,203200,0.0625
1994-02-10,1.51562,1.54688,1.5,1.54688,193600,0.0625
1994-02-11,1.5625,1.5625,1.5625,1.5625,3200,0.0625
1994-02-14,1.5,1.57812,1.5,1.57812,131200,0.0625
1994-02-15,1.57031,1.60938,1.5625,1.60156,412800,0.0625
1994-02-16,1.625,1.73438,1.57812,1.70312,1059200,0.0625
1994-02-17,1.70312,1.75,1.65625,1.69531,651200,0.0625
1994-02-18,1.64062,1.70312,1.60938,1.625,358400,0.0625
1994-02-22,1.67188,1.67188,1.625,1.625,425600,0.0625
1994-02-23,1.625,1.67188,1.61719,1.61719,132800,0.0625
1994-02-24,1.65625,1.67188,1.59375,1.59375,681600,0.0625
1994-02-25,1.57812,1.625,1.57812,1.57812,52800,0.0625
1994-02-28,1.625,1.64062,1.57812,1.625,932800,0.0625
1994-03-01,1.59375,1.64062,1.57031,1.59375,424000,0.0625
1994-03-02,1.5625,1.57812,1.54688,1.57812,220800,0.0625
1994-03-03,1.54688,1.57812,1.54688,1.54688,40000,0.0625
1994-03-04,1.57812,1.57812,1.54688,1.57812,41600,0.0625
1994-03-07,1.60938,1.60938,1.59375,1.59375,84800,0.0625
1994-03-08,1.60938,1.60938,1.54688,1.57812,276800,0.0625
1994-03-09,1.57812,1.57812,1.53125,1.53125,153600,0.0625
1994-03-10,1.53906,1.57812,1.48438,1.48438,492800,0.0625
1994-03-11,1.54688,1.625,1.53125,1.53125,1073600,0.0625
1994-03-14,1.59375,1.59375,1.5625,1.59375,449600,0.0625
1994-03-15,1.64062,1.64062,1.60938,1.64062,163200,0.0625
1994-03-16,1.59375,1.625,1.59375,1.59375,408000,0.0625
1994-03-17,1.64062,1.6875,1.625,1.6875,265600,0.0625
1994-03-18,1.64062,1.70312,1.64062,1.70312,164800,0.0625
1994-03-21,1.70312,1.70312,1.625,1.65625,435200,0.0625
1994-03-22,1.625,1.64062,1.59375,1.60938,212800,0.0625
1994-03-23,1.71875,1.75,1.65625,1.74219,4097600,0.0625
1994-03-24,1.73438,1.73438,1.6875,1.73438,3049600,0.0625
1994-03-25,1.70312,1.71875,1.6875,1.6875,137600,0.0625
1994-03-28,1.6875,1.6875,1.59375,1.60938,1001600,0.0625
1994-03-29,1.60938,1.625,1.53125,1.53125,382400,0.0625
1994-03-30,1.54688,1.59375,1.54688,1.54688,40000,0.0625
1994-03-31,1.51562,1.57812,1.40625,1.48438,2220800,0.0625
1994-04-04,1.42188,1.46875,1.40625,1.46875,2406400,0.0625
1994-04-05,1.5,1.57812,1.48438,1.54688,440000,0.0625
1994-04-06,1.53125,1.54688,1.48438,1.53125,632000,0.0625
1994-04-07,1.48438,1.54688,1.48438,1.53125,158400,0.0625
1994-04-08,1.54688,1.60938,1.54297,1.54688,1865600,0.0625
1994-04-11,1.54688,1.59375,1.54688,1.59375,17600,0.0625
1994-04-12,1.59375,1.59375,1.54688,1.5625,283200,0.0625
1994-04-13,1.57812,1.57812,1.53125,1.53125,638400,0.0625
1994-04-14,1.53125,1.5625,1.53125,1.54688,208000,0.0625
1994-04-15,1.53125,1.5625,1.53125,1.53125,345600,0.0625
1994-04-18,1.57812,1.57812,1.53125,1.57031,168000,0.0625
1994-04-19,1.57812,1.60156,1.53125,1.59375,275200,0.0625
1994-04-20,1.625,1.625,1.53125,1.57812,321600,0.0625
1994-04-21,1.57812,1.57812,1.57812,1.57812,33600,0.0625
1994-04-22,1.57812,1.57812,1.57812,1.57812,0,0.0625
1994-04-25,1.57812,1.57812,1.53125,1.53125,164800,0.0625
1994-04-26,1.53125,1.57812,1.53125,1.57812,27200,0.0625
1994-04-28,1.54297,1.57812,1.375,1.42188,1227200,0.0625
1994-04-29,1.46875,1.51562,1.42188,1.48438,1044800,0.0625
1994-05-02,1.51562,1.51562,1.46875,1.51562,460800,0.0625
1994-05-03,1.49219,1.51562,1.46875,1.47656,736000,0.0625
1994-05-04,1.51562,1.51562,1.46875,1.5,76800,0.0625
1994-05-05,1.46875,1.51562,1.46875,1.51562,166400,0.0625
1994-05-06,1.48438,1.5,1.46875,1.46875,352000,0.0625
1994-05-09,1.46875,1.48438,1.4375,1.4375,329600,0.0625
1994-05-10,1.4375,1.46875,1.4375,1.46094,568000,0.0625
1994-05-11,1.4375,1.46875,1.375,1.375,568000,0.0625
1994-05-12,1.42188,1.54688,1.42188,1.5,1340800,0.0625
1994-05-13,1.53125,1.53125,1.48438,1.51562,430400,0.0625
1994-05-16,1.54688,1.59375,1.51562,1.51562,656000,0.0625
1994-05-17,1.39062,1.46875,1.26562,1.4375,5308800,0.0625
1994-05-18,1.4375,1.51562,1.4375,1.50781,1068800,0.0625
1994-05-19,1.48438,1.51562,1.48438,1.5,822400,0.0625
1994-05-20,1.48438,1.51562,1.46875,1.50781,672000,0.0625
1994-05-23,1.46875,1.51562,1.46875,1.51562,11200,0.0625
1994-05-24,1.46875,1.51562,1.46875,1.51562,201600,0.0625
1994-05-25,1.46875,1.53125,1.46875,1.5,1163200,0.0625
1994-05-26,1.53125,1.53125,1.5,1.51562,312000,0.0625
1994-05-27,1.5,1.5,1.5,1.5,43200,0.0625
1994-05-31,1.53125,1.53125,1.5,1.53125,112000,0.0625
1994-06-01,1.53125,1.53125,1.48438,1.53125,8000,0.0625
1994-06-02,1.48438,1.48438,1.48438,1.48438,4800,0.0625
1994-06-03,1.48438,1.53125,1.48438,1.48438,17600,0.0625
1994-06-06,1.48438,1.53125,1.48438,1.51562,257600,0.0625
1994-06-07,1.5,1.53125,1.48438,1.48438,36800,0.0625
1994-06-08,1.48438,1.5,1.39062,1.4375,428800,0.0625
1994-06-09,1.40625,1.4375,1.39062,1.42188,185600,0.0625
1994-06-10,1.39062,1.48438,1.39062,1.46875,480000,0.0625
1994-06-13,1.4375,1.48438,1.4375,1.45312,347200,0.0625
1994-06-14,1.4375,1.46875,1.35938,1.39062,769600,0.0625
1994-06-15,1.39062,1.42188,1.34375,1.36328,608000,0.0625
1994-06-16,1.40625,1.4375,1.375,1.4375,182400,0.0625
