date,open,high,low,close,volume,adjrate
1984-10-26,1.515989,1.515989,1.492664,1.515989,190800,0.046646
1984-10-29,1.510156,1.510156,1.481004,1.486834,752400,0.046646
1984-10-30,1.486834,1.498496,1.463512,1.469342,3979200,0.046646
1984-10-31,1.434358,1.469342,1.434358,1.45185,2503200,0.046646
1984-11-01,1.416866,1.440188,1.416866,1.422696,941400,0.046646
1984-11-02,1.434358,1.440188,1.422696,1.440188,783600,0.046646
1984-11-05,1.440188,1.45768,1.440188,1.45768,369000,0.046646
1984-11-06,1.45185,1.481005,1.45185,1.481005,129000,0.046646
1984-11-07,1.475172,1.481005,1.45768,1.45768,453600,0.046646
1984-11-08,1.45768,1.475172,1.45185,1.45768,260400,0.046646
1984-11-09,1.469342,1.475172,1.45768,1.45768,245400,0.046646
1984-11-12,1.45768,1.463512,1.45185,1.45768,98400,0.046646
1984-11-13,1.463512,1.463512,1.44602,1.44602,415800,0.046646
1984-11-14,1.440188,1.44602,1.434358,1.440188,160800,0.046646
1984-11-15,1.434358,1.45185,1.434358,1.44602,818400,0.046646
1984-11-16,1.440188,1.44602,1.434358,1.434358,747000,0.046646
1984-11-19,1.434358,1.440188,1.422696,1.428528,316800,0.046646
1984-11-20,1.416866,1.434358,1.416866,1.428528,858600,0.046646
1984-11-21,1.416866,1.428528,1.411036,1.416866,1343400,0.046646
1984-11-23,1.422696,1.440188,1.422696,1.434358,1510200,0.046646
1984-11-26,1.440188,1.44602,1.434358,1.440188,1132200,0.046646
1984-11-27,1.44602,1.44602,1.440188,1.440188,248400,0.046646
1984-11-28,1.44602,1.45185,1.440188,1.44602,697800,0.046646
1984-11-29,1.44602,1.45185,1.44602,1.44602,290400,0.046646
1984-11-30,1.440188,1.44602,1.434358,1.440188,313800,0.046646
1984-12-03,1.44602,1.44602,1.428528,1.434358,2022000,0.046646
1984-12-04,1.428528,1.440188,1.422696,1.428528,327600,0.046646
1984-12-05,1.428528,1.434358,1.416866,1.428528,337800,0.046646
1984-12-06,1.422696,1.434358,1.422696,1.434358,69000,0.046646
1984-12-07,1.434358,1.434358,1.422696,1.428528,408600,0.046646
1984-12-10,1.434358,1.44602,1.434358,1.44602,1078800,0.046646
1984-12-11,1.44602,1.44602,1.434358,1.44602,243000,0.046646
1984-12-12,1.44602,1.45185,1.440188,1.440188,452400,0.046646
1984-12-13,1.440188,1.45185,1.440188,1.45185,385200,0.046646
1984-12-14,1.45185,1.45185,1.440188,1.45185,524400,0.046646
1984-12-17,1.44602,1.45185,1.440188,1.45185,150000,0.046646
1984-12-18,1.45185,1.481005,1.446021,1.481005,256800,0.046646
1984-12-19,1.481004,1.492664,1.469342,1.492664,283200,0.046646
1984-12-20,1.492664,1.504326,1.486834,1.486834,150600,0.046646
1984-12-21,1.492664,1.504326,1.486834,1.486834,282600,0.046646
1984-12-24,1.486834,1.492664,1.486834,1.486834,70200,0.046646
1984-12-26,1.486834,1.486834,1.475172,1.475172,26400,0.046646
1984-12-27,1.469342,1.469342,1.45768,1.463512,54000,0.046646
1984-12-28,1.469342,1.481004,1.45768,1.463512,99000,0.046646
1984-12-31,1.463512,1.463512,1.45185,1.45185,70800,0.046646
1985-01-02,1.463512,1.463512,1.45185,1.45768,135600,0.046646
1985-01-03,1.45185,1.463512,1.45185,1.45768,282600,0.046646
1985-01-04,1.45185,1.45768,1.44602,1.44602,222600,0.046646
1985-01-07,1.45185,1.45768,1.45185,1.45768,82800,0.046646
1985-01-08,1.45768,1.463512,1.45185,1.463512,204600,0.046646
1985-01-09,1.463512,1.469342,1.45768,1.469342,121200,0.046646
1985-01-10,1.475173,1.486835,1.469343,1.481005,406800,0.046646
1985-01-11,1.486835,1.486835,1.469343,1.481005,393000,0.046646
1985-01-14,1.486834,1.504326,1.475172,1.492664,304800,0.046646
1985-01-15,1.504327,1.510157,1.492665,1.504327,144600,0.046646
1985-01-16,1.498496,1.504326,1.492664,1.492664,95400,0.046646
1985-01-17,1.504327,1.504327,1.492665,1.498497,470400,0.046646
1985-01-18,1.498497,1.504327,1.498497,1.498497,206400,0.046646
1985-01-21,1.498497,1.504327,1.492665,1.498497,1193400,0.046646
1985-01-22,1.492665,1.504327,1.492665,1.498497,400200,0.046646
1985-01-23,1.498497,1.498497,1.469343,1.481005,221400,0.046646
1985-01-24,1.463512,1.486834,1.45768,1.469342,866400,0.046646
1985-01-25,1.45768,1.475172,1.45768,1.463512,446400,0.046646
1985-01-28,1.469342,1.481004,1.469342,1.475172,858000,0.046646
1985-01-29,1.486834,1.486834,1.475172,1.475172,94200,0.046646
1985-01-30,1.475172,1.492664,1.475172,1.475172,2022000,0.046646
1985-01-31,1.481005,1.486835,1.475173,1.481005,161400,0.046646
1985-02-01,1.44602,1.45185,1.434358,1.45185,126000,0.046646
1985-02-04,1.44602,1.469342,1.44602,1.45768,408000,0.046646
1985-02-05,1.45185,1.463512,1.44602,1.44602,76200,0.046646
1985-02-06,1.45185,1.45768,1.44602,1.45185,93600,0.046646
1985-02-07,1.45185,1.463512,1.45185,1.463512,387600,0.046646
1985-02-08,1.469342,1.481004,1.469342,1.475172,322200,0.046646
1985-02-11,1.469342,1.475172,1.428528,1.463512,340200,0.046646
1985-02-12,1.469342,1.481004,1.463512,1.475172,184200,0.046646
1985-02-13,1.481004,1.481004,1.463512,1.475172,694200,0.046646
1985-02-14,1.481005,1.486835,1.475173,1.481005,276000,0.046646
1985-02-15,1.481005,1.486835,1.475173,1.481005,277200,0.046646
1985-02-19,1.469343,1.486835,1.469343,1.481005,235200,0.046646
1985-02-20,1.475172,1.486834,1.469342,1.475172,813600,0.046646
1985-02-21,1.486835,1.492665,1.481005,1.481005,277800,0.046646
1985-02-22,1.486834,1.486834,1.475172,1.475172,201600,0.046646
1985-02-25,1.463512,1.469342,1.463512,1.463512,478800,0.046646
