date,open,high,low,close,volume,adjrate
1972-06-01,0.17755,0.178075,0.17755,0.17755,249600,0.004202
1972-06-02,0.178075,0.179651,0.178075,0.178075,172800,0.004202
1972-06-05,0.178075,0.180701,0.177549,0.180701,302400,0.004202
1972-06-06,0.180701,0.183853,0.180176,0.180701,196800,0.004202
1972-06-07,0.180702,0.180702,0.179126,0.179126,48000,0.004202
1972-06-08,0.179126,0.180702,0.1786,0.179651,144000,0.004202
1972-06-09,0.179651,0.180702,0.1786,0.179651,43200,0.004202
1972-06-12,0.180701,0.181752,0.180701,0.181752,24000,0.004202
1972-06-13,0.181226,0.181226,0.1786,0.1786,76800,0.004202
1972-06-14,0.1786,0.179651,0.1786,0.1786,244800,0.004202
1972-06-15,0.179651,0.180176,0.179651,0.180176,206400,0.004202
1972-06-16,0.180176,0.181752,0.180176,0.181752,48000,0.004202
1972-06-19,0.180701,0.180701,0.180176,0.180176,91200,0.004202
1972-06-20,0.180176,0.180701,0.180176,0.180701,14400,0.004202
1972-06-21,0.180701,0.180701,0.180176,0.180176,48000,0.004202
1972-06-22,0.180176,0.181752,0.179651,0.181752,86400,0.004202
1972-06-23,0.182803,0.184379,0.182803,0.184379,96000,0.004202
1972-06-26,0.184379,0.184904,0.182803,0.184904,62400,0.004202
1972-06-27,0.185954,0.187005,0.185954,0.185954,67200,0.004202
1972-06-28,0.18753,0.191207,0.18753,0.191207,144000,0.004202
1972-06-29,0.190682,0.190682,0.190682,0.190682,28800,0.004202
1972-06-30,0.191208,0.193309,0.191208,0.193309,72000,0.004202
1972-07-03,0.193308,0.19646,0.193308,0.19646,57600,0.004202
1972-07-05,0.19646,0.19646,0.194359,0.194359,211200,0.004202
1972-07-06,0.195409,0.203814,0.195409,0.203814,254400,0.004202
1972-07-07,0.203814,0.206966,0.203814,0.204865,412800,0.004202
1972-07-10,0.204865,0.205916,0.203815,0.205916,0,0.004202
1972-07-11,0.205916,0.206441,0.204865,0.205916,2904000,0.004202
1972-07-12,0.205916,0.206967,0.205916,0.205916,259200,0.004202
1972-07-13,0.205916,0.208017,0.205916,0.208017,225600,0.004202
1972-07-14,0.208017,0.208017,0.206441,0.208017,172800,0.004202
1972-07-17,0.208017,0.208542,0.206966,0.208542,62400,0.004202
1972-07-18,0.208542,0.210118,0.207491,0.209067,220800,0.004202
1972-07-19,0.209067,0.210118,0.208017,0.210118,24000,0.004202
1972-07-20,0.210118,0.210118,0.208542,0.209593,76800,0.004202
1972-07-21,0.209593,0.211169,0.209593,0.211169,273600,0.004202
1972-07-24,0.211168,0.211168,0.210118,0.210643,225600,0.004202
1972-07-25,0.210643,0.213269,0.210643,0.212744,278400,0.004202
1972-07-26,0.21327,0.213795,0.21327,0.213795,86400,0.004202
1972-07-27,0.213795,0.213795,0.210118,0.210118,518400,0.004202
1972-07-28,0.211169,0.212219,0.211169,0.211694,67200,0.004202
1972-07-31,0.213281,0.213281,0.212223,0.213281,86400,0.004234
1972-08-01,0.213281,0.216985,0.212222,0.215927,264000,0.004234
1972-08-02,0.215927,0.219102,0.214869,0.218044,211200,0.004234
1972-08-03,0.218045,0.219103,0.215928,0.219103,264000,0.004234
1972-08-04,0.220162,0.222278,0.220162,0.22122,681600,0.004234
1972-08-07,0.223337,0.224395,0.223337,0.223866,206400,0.004234
1972-08-08,0.223865,0.223865,0.223336,0.223336,547200,0.004234
1972-08-09,0.223336,0.224395,0.222278,0.222278,244800,0.004234
1972-08-10,0.223337,0.224395,0.223337,0.224395,153600,0.004234
1972-08-11,0.224395,0.224395,0.223866,0.224395,86400,0.004234
1972-08-14,0.224395,0.226511,0.224395,0.225453,124800,0.004234
1972-08-15,0.226512,0.228629,0.226512,0.227041,120000,0.004234
1972-08-16,0.228629,0.230745,0.228629,0.229687,81600,0.004234
1972-08-17,0.230216,0.230745,0.230216,0.230216,67200,0.004234
1972-08-18,0.232862,0.236038,0.232862,0.23445,321600,0.004234
1972-08-21,0.234451,0.235509,0.234451,0.235509,19200,0.004234
1972-08-22,0.236038,0.239213,0.236038,0.239213,350400,0.004234
