date,open,high,low,close,volume,adjrate
2007-12-14,60.5,60.5,60.5,60.5,0,1.0
2008-01-11,51.3,51.3,51.3,51.3,100,1.0
2008-01-14,47.9,47.9,47.9,47.9,100,1.0
2008-01-15,50.69,50.69,50.69,50.69,100,1.0
2008-01-16,40.0,40.0,40.0,40.0,0,1.0
2008-01-17,44.61,44.61,44.61,44.61,300,1.0
2008-01-22,40.99,40.99,40.99,40.99,200,1.0
2008-01-25,45.0,45.0,45.0,45.0,0,1.0
2008-01-30,49.71,49.71,49.71,49.71,0,1.0
2008-01-31,46.0,46.0,46.0,46.0,0,1.0
2008-02-13,53.3,53.3,53.3,53.3,0,1.0
2008-02-15,51.5,51.5,51.5,51.5,0,1.0
2008-02-19,53.3,53.3,53.3,53.3,100,1.0
2008-02-26,56.1,56.1,56.1,56.1,0,1.0
2008-03-13,50.45,50.45,50.45,50.45,0,1.0
2008-04-03,44.05,44.05,44.05,44.05,0,1.0
2008-04-07,49.18,49.18,49.18,49.18,0,1.0
2008-04-22,48.23,48.23,48.23,48.23,100,1.0
2008-04-30,43.68,43.68,43.68,43.68,100,1.0
2008-05-21,44.2,44.2,44.2,44.2,2100,1.0
2008-06-11,40.36,40.36,40.36,40.36,0,1.0
2008-06-13,39.59,39.59,39.59,39.59,200,1.0
2008-07-02,37.4,37.4,37.4,37.4,0,1.0
2008-07-08,32.0,32.0,32.0,32.0,0,1.0
2008-07-18,31.92,31.92,31.92,31.92,0,1.0
2008-08-18,34.32,34.32,34.32,34.32,0,1.0
2008-08-28,33.3,33.3,33.3,33.3,0,1.0
2008-10-23,16.78,16.78,16.78,16.78,0,1.0
2008-10-24,16.78,16.78,16.78,16.78,0,1.0
2008-11-03,15.5,15.5,15.5,15.5,100,1.0
2008-11-11,14.0,14.0,14.0,14.0,200,1.0
2008-11-20,9.88,9.88,9.88,9.88,0,1.0
2009-11-16,8.41,8.41,8.41,8.41,200,1.0
2009-12-07,8.15,8.15,8.15,8.15,0,1.0
2010-01-14,10.295,10.295,10.295,10.295,1000,1.0
2010-01-22,10.24,10.24,10.24,10.24,200,1.0
2010-02-05,8.899,8.899,8.899,8.899,1100,1.0
2010-02-24,9.2,9.2,9.2,9.2,1100,1.0
2010-03-15,10.04,10.04,10.04,10.04,500,1.0
2010-03-19,10.845,10.845,10.845,10.845,100,1.0
2010-04-06,11.58,11.58,11.58,11.58,400,1.0
2010-04-30,11.02,11.02,11.02,11.02,200,1.0
2010-05-03,9.75,9.75,9.75,9.75,1100,1.0
2010-05-07,9.85,9.85,9.85,9.85,0,1.0
2010-05-18,10.0,10.0,10.0,10.0,0,1.0
