date,open,high,low,close,volume,adjrate
2002-10-25,7.742865,7.832206,7.653524,7.748821,13965800,0.595605
2002-10-28,7.748821,7.772645,7.719041,7.748821,5505900,0.595605
2002-10-29,7.742866,7.748822,7.171085,7.528448,2235800,0.595605
2002-10-30,7.51058,7.516536,7.224689,7.445063,905800,0.595605
2002-10-31,7.480799,7.754777,7.445062,7.510579,298900,0.595605
2002-11-01,7.498667,7.564183,7.486755,7.510579,268800,0.595605
2002-11-04,7.54036,7.713085,7.534404,7.689261,1307600,0.595605
2002-11-05,7.689261,7.885811,7.677349,7.754778,2384700,0.595605
2002-11-06,7.760733,7.861986,7.742865,7.742865,204300,0.595605
2002-11-07,7.790514,7.838163,7.361679,7.772646,724200,0.595605
2002-11-08,7.754777,7.760734,7.641612,7.701173,106400,0.595605
2002-11-11,7.742865,7.742865,7.534404,7.57014,110500,0.595605
2002-11-12,7.582052,7.588008,7.063875,7.123436,540700,0.595605
2002-11-13,7.177041,7.200865,6.40871,6.611216,685600,0.595605
2002-11-14,6.629084,6.700557,6.480183,6.60526,462800,0.595605
2002-11-15,6.611216,6.885194,6.599304,6.879238,460700,0.595605
2002-11-18,6.897106,7.772645,6.89115,7.254469,325400,0.595605
2002-11-19,7.361678,7.623744,7.159172,7.504623,211400,0.595605
2002-11-20,7.480799,7.504623,7.284249,7.391458,92700,0.595605
2002-11-21,7.468887,7.653525,7.468887,7.653525,91300,0.595605
2002-11-22,7.653524,7.65948,7.445062,7.534403,55300,0.595605
2002-11-25,7.623744,7.742865,7.54036,7.701173,111000,0.595605
2002-11-26,7.707129,7.707129,7.588008,7.588008,59300,0.595605
2002-11-27,7.683305,7.683305,7.445063,7.445063,94300,0.595605
2002-11-29,7.611832,7.677348,7.504623,7.635656,35400,0.595605
2002-12-02,7.707129,7.713085,7.355722,7.391458,93600,0.595605
2002-12-03,7.445063,7.445063,7.331898,7.367634,31100,0.595605
2002-12-04,7.415282,7.504623,7.331898,7.504623,42300,0.595605
2002-12-05,7.653524,7.921546,7.599919,7.909634,366100,0.595605
2002-12-06,7.832206,7.969195,7.736909,7.850074,129300,0.595605
2002-12-09,7.91559,7.921546,7.665436,7.742865,106900,0.595605
2002-12-10,7.742865,7.85603,7.701173,7.742865,48300,0.595605
2002-12-11,7.802425,7.975151,7.754777,7.891766,189700,0.595605
2002-12-12,7.975151,8.219349,7.903679,8.183613,361400,0.595605
2002-12-13,8.171701,8.570756,8.058536,8.100228,615500,0.595605
2002-12-16,8.183613,8.380163,8.135965,8.147877,170900,0.595605
2002-12-17,8.284865,8.284865,7.927502,8.028755,95100,0.595605
2002-12-18,8.040668,8.094272,7.778602,7.933459,110800,0.595605
2002-12-19,8.040668,8.040668,7.445063,7.593964,233700,0.595605
2002-12-20,7.617789,7.981108,7.558228,7.790514,134900,0.595605
2002-12-23,7.796469,8.094272,7.748821,8.010887,65300,0.595605
2002-12-24,8.100228,8.284866,7.933459,8.046624,52300,0.595605
2002-12-26,8.135964,8.135964,7.719041,7.891766,16300,0.595605
2002-12-27,7.91559,7.91559,7.713085,7.742865,42500,0.595605
2002-12-30,7.79647,7.957283,7.742865,7.802426,26700,0.595605
2002-12-31,7.951327,8.040668,7.802426,7.808382,72000,0.595605
2003-01-02,7.748822,8.040668,7.742865,8.040668,89700,0.595605
2003-01-03,8.040668,8.100228,7.933459,7.981107,73200,0.595605
2003-01-06,7.981108,8.076404,7.915591,7.915591,90700,0.595605
2003-01-07,7.957283,8.05258,7.861986,7.927503,99300,0.595605
2003-01-08,7.808382,7.861987,7.599921,7.754778,159100,0.595605
2003-01-09,7.784557,7.820294,7.653524,7.742865,125900,0.595605
2003-01-10,7.790513,7.802425,7.713085,7.742865,70500,0.595605
2003-01-13,7.802426,7.939415,7.742865,7.939415,194700,0.595605
