date,open,high,low,close,volume,adjrate
1985-09-24,2.220548,2.220548,2.202784,2.214627,7500000,0.047372
1985-09-25,2.208705,2.220548,2.208705,2.220548,6840000,0.047372
1985-09-26,2.202685,2.20872,2.166476,2.178546,26000,0.048278
1985-09-30,2.178547,2.196651,2.172512,2.196651,94000,0.048278
1985-10-01,2.184581,2.220789,2.178546,2.202685,170800,0.048278
1985-10-02,2.190616,2.226824,2.190616,2.20872,122400,0.048278
1985-10-03,2.20872,2.214755,2.196651,2.214755,34400,0.048278
1985-10-04,2.202686,2.22079,2.196651,2.22079,149200,0.048278
1985-10-07,2.20872,2.23286,2.202686,2.22079,336400,0.048278
1985-10-08,2.214755,2.238894,2.214755,2.22079,24000,0.048278
1985-10-09,2.214755,2.250963,2.214755,2.232859,282000,0.048278
1985-10-10,2.220789,2.244929,2.220789,2.232859,36800,0.048278
1985-10-11,2.220789,2.238894,2.220789,2.232859,42400,0.048278
1985-10-14,2.226825,2.244929,2.22079,2.244929,47600,0.048278
1985-10-15,2.256998,2.263033,2.238893,2.250963,87600,0.048278
1985-10-16,2.238894,2.250964,2.232859,2.238894,40400,0.048278
1985-10-17,2.232859,2.256999,2.232859,2.244929,38400,0.048278
1985-10-18,2.238894,2.238894,2.232859,2.238894,13600,0.048278
1985-10-21,2.250963,2.256998,2.250963,2.250963,94800,0.048278
1985-10-22,2.250964,2.281138,2.250964,2.275103,47600,0.048278
1985-10-23,2.263033,2.305277,2.263033,2.293207,56800,0.048278
1985-10-24,2.281137,2.287172,2.256998,2.263033,200000,0.048278
1985-10-25,2.275102,2.317346,2.269067,2.305276,136800,0.048278
1985-10-28,2.305277,2.305277,2.269068,2.293207,266800,0.048278
1985-10-29,2.281138,2.305277,2.269068,2.299242,96800,0.048278
1985-10-30,2.287172,2.305276,2.281137,2.287172,91600,0.048278
1985-10-31,2.293207,2.317346,2.281137,2.311311,321200,0.048278
1985-11-01,2.299241,2.359589,2.299241,2.33545,295200,0.048278
1985-11-04,2.34752,2.359589,2.32338,2.33545,225200,0.048278
1985-11-05,2.329415,2.353555,2.329415,2.341485,119600,0.048278
1985-11-06,2.365624,2.365624,2.341485,2.34752,70800,0.048278
1985-11-07,2.34752,2.34752,2.32338,2.33545,253600,0.048278
1985-11-08,2.341485,2.341485,2.329415,2.33545,105200,0.048278
1985-11-11,2.33545,2.365624,2.329415,2.365624,392400,0.048278
1985-11-12,2.365624,2.389763,2.34752,2.371659,131200,0.048278
1985-11-13,2.365624,2.377694,2.365624,2.365624,140400,0.048278
1985-11-14,2.371659,2.371659,2.353555,2.371659,370400,0.048278
1985-11-15,2.371658,2.371658,2.341484,2.353554,161600,0.048278
1985-11-18,2.365624,2.365624,2.33545,2.365624,48800,0.048278
1985-11-19,2.371659,2.395798,2.365624,2.371659,80400,0.048278
1985-11-20,2.371658,2.395798,2.371658,2.383728,225600,0.048278
1985-11-21,2.395797,2.425971,2.389762,2.425971,249200,0.048278
1985-11-22,2.432006,2.438041,2.425971,2.432006,196800,0.048278
1985-11-25,2.425971,2.432006,2.419936,2.432006,158000,0.048278
1985-11-26,2.419937,2.419937,2.413902,2.419937,39200,0.048278
1985-11-27,2.407867,2.425972,2.407867,2.413902,86400,0.048278
1985-11-29,2.401832,2.407867,2.395797,2.401832,30400,0.048278
1985-12-02,2.407867,2.413902,2.395798,2.413902,39200,0.048278
1985-12-03,2.401832,2.413902,2.395797,2.407867,146000,0.048278
1985-12-04,2.395798,2.413902,2.395798,2.413902,107200,0.048278
1985-12-05,2.425971,2.432006,2.407867,2.432006,85600,0.048278
1985-12-06,2.432007,2.432007,2.389763,2.395798,248800,0.048278
1985-12-09,2.407867,2.456146,2.401833,2.444076,280000,0.048278
1985-12-10,2.450111,2.46218,2.438041,2.438041,720000,0.048278
1985-12-11,2.444076,2.486319,2.432006,2.46218,108800,0.048278
1985-12-12,2.474249,2.474249,2.444075,2.45011,74000,0.048278
1985-12-13,2.462179,2.522527,2.462179,2.498388,102000,0.048278
1985-12-16,2.510458,2.558736,2.498388,2.558736,212400,0.048278
1985-12-17,2.546666,2.625118,2.534597,2.600979,430800,0.048278
1985-12-18,2.60098,2.625119,2.582875,2.619084,298000,0.048278
1985-12-19,2.631153,2.643223,2.58891,2.58891,124800,0.048278
1985-12-20,2.57684,2.600979,2.546666,2.570805,269200,0.048278
1985-12-23,2.558736,2.564771,2.522528,2.540632,261600,0.048278
1985-12-24,2.510458,2.522528,2.498388,2.510458,782400,0.048278
1985-12-26,2.492288,2.535258,2.492288,2.492288,8720000,0.049109
1985-12-27,2.492288,2.52912,2.492288,2.510704,27200,0.049109
1985-12-30,2.535258,2.553674,2.529119,2.547535,82400,0.049109
1985-12-31,2.559813,2.602783,2.559813,2.602783,50400,0.049109
1986-01-02,2.602784,2.602784,2.565952,2.578229,147200,0.049109
1986-01-03,2.578229,2.602783,2.57209,2.590506,95200,0.049109
1986-01-06,2.584367,2.602783,2.57209,2.590506,62800,0.049109
1986-01-07,2.627338,2.639615,2.596645,2.627338,122000,0.049109
1986-01-08,2.621199,2.639615,2.590506,2.590506,113200,0.049109
1986-01-09,2.590506,2.602783,2.510703,2.516842,135600,0.049109
1986-01-10,2.504565,2.52912,2.492288,2.492288,103600,0.049109
1986-01-13,2.504564,2.504564,2.455455,2.461594,511200,0.049109
1986-01-14,2.461594,2.504565,2.461594,2.486149,86000,0.049109
1986-01-15,2.473871,2.498426,2.467733,2.498426,310400,0.049109
1986-01-16,2.504565,2.504565,2.480011,2.492288,46000,0.049109
1986-01-17,2.486149,2.504565,2.467733,2.504565,252800,0.049109
1986-01-20,2.498427,2.516843,2.498427,2.510704,77600,0.049109
1986-01-21,2.510703,2.541396,2.510703,2.529119,437600,0.049109
1986-01-22,2.529119,2.541396,2.516842,2.529119,652800,0.049109
1986-01-23,2.541397,2.547535,2.529119,2.535258,473200,0.049109
1986-01-24,2.547535,2.553674,2.535258,2.553674,848000,0.049109
1986-01-27,2.559813,2.602783,2.541397,2.590506,182400,0.049109
1986-01-28,2.651893,2.670309,2.639615,2.66417,105600,0.049109
1986-01-29,2.651892,2.688724,2.645753,2.651892,565600,0.049109
1986-01-30,2.639615,2.725556,2.639615,2.670308,583600,0.049109
