date,open,high,low,close,volume,adjrate
1991-07-19,7.429654,7.584438,7.336783,7.429654,13808200,0.247655
1991-07-22,7.398697,7.429654,7.336783,7.429654,4531800,0.247655
1991-07-23,7.398697,7.429654,7.36774,7.429654,2028200,0.247655
1991-07-24,7.398696,7.491567,7.398696,7.491567,805800,0.247655
1991-07-25,7.460611,7.708266,7.460611,7.646352,969600,0.247655
1991-07-26,7.677309,7.739223,7.615395,7.646352,781400,0.247655
1991-07-29,7.615395,7.646352,7.522524,7.553481,467400,0.247655
1991-07-30,7.584438,7.677309,7.584438,7.677309,660800,0.247655
1991-07-31,7.708265,7.924964,7.708265,7.832093,835200,0.247655
1991-08-01,7.832093,7.924964,7.832093,7.832093,1643200,0.247655
1991-08-02,7.924964,7.924964,7.739222,7.86305,1237400,0.247655
1991-08-05,7.832093,7.832093,7.646352,7.677309,566600,0.247655
1991-08-06,7.646352,7.801136,7.646352,7.801136,423400,0.247655
1991-08-07,7.801137,7.894007,7.677309,7.677309,654600,0.247655
1991-08-08,7.677309,7.677309,7.553481,7.584438,294000,0.247655
1991-08-09,7.584438,7.615395,7.491567,7.491567,277000,0.247655
1991-08-12,7.491568,7.491568,7.429654,7.429654,304800,0.247655
1991-08-13,7.429654,7.553481,7.398697,7.398697,546400,0.247655
1991-08-14,7.429654,7.460611,7.36774,7.460611,301600,0.247655
1991-08-15,7.398697,7.491567,7.274869,7.274869,783600,0.247655
1991-08-16,7.336783,7.398697,7.274869,7.398697,117400,0.247655
1991-08-19,6.996258,7.212956,6.779559,7.151042,399600,0.247655
1991-08-20,7.181998,7.243912,7.120084,7.212955,151600,0.247655
1991-08-21,7.615395,7.677309,7.491567,7.553481,308400,0.247655
1991-08-22,7.553481,7.677309,7.522525,7.677309,219800,0.247655
1991-08-23,7.615395,7.708265,7.522524,7.553481,83200,0.247655
1991-08-26,7.553481,7.553481,7.398697,7.398697,108600,0.247655
1991-08-27,7.460611,7.460611,7.336783,7.36774,335800,0.247655
1991-08-28,7.398697,7.460611,7.336783,7.429654,243200,0.247655
1991-08-29,7.46061,7.646352,7.46061,7.584438,256200,0.247655
1991-08-30,7.584438,7.615395,7.553481,7.615395,78000,0.247655
1991-09-03,7.615395,7.646352,7.522524,7.522524,162200,0.247655
1991-09-04,7.553481,7.584438,7.522524,7.584438,107600,0.247655
1991-09-05,7.584439,7.584439,7.460611,7.460611,214400,0.247655
1991-09-06,7.491567,7.553481,7.491567,7.522524,127200,0.247655
1991-09-09,7.553481,7.86305,7.553481,7.86305,347200,0.247655
1991-09-10,7.86305,7.894007,7.801136,7.801136,101000,0.247655
1991-09-11,7.801136,7.801136,7.770179,7.770179,273600,0.247655
1991-09-12,7.832094,8.296447,7.832094,8.296447,552600,0.247655
1991-09-13,8.35836,8.389317,8.172619,8.203576,200200,0.247655
1991-09-16,8.172619,8.172619,8.141662,8.172619,49200,0.247655
1991-09-17,8.172619,8.172619,8.079748,8.141662,27800,0.247655
1991-09-18,8.172619,8.172619,8.110705,8.172619,67200,0.247655
1991-09-19,8.172619,8.172619,8.079748,8.110705,23600,0.247655
1991-09-20,8.079748,8.203576,8.048791,8.172619,222000,0.247655
1991-09-23,8.203576,8.35836,8.203576,8.35836,62000,0.247655
1991-09-24,8.420274,8.420274,7.553481,7.832093,1203000,0.247655
1991-09-25,7.832093,8.017835,7.708266,7.955921,1608000,0.247655
1991-09-26,7.986878,7.986878,7.86305,7.894007,153200,0.247655
1991-09-27,7.924964,7.986878,7.86305,7.924964,154200,0.247655
1991-09-30,7.894007,7.924964,7.894007,7.924964,205800,0.247655
1991-10-01,7.924963,7.924963,7.770179,7.770179,260200,0.247655
1991-10-02,7.770179,7.832093,7.770179,7.801136,103000,0.247655
1991-10-03,7.832094,7.832094,7.739223,7.739223,85600,0.247655
1991-10-04,7.739223,7.739223,7.615395,7.615395,222600,0.247655
1991-10-07,7.615395,7.615395,7.584438,7.615395,97600,0.247655
1991-10-08,7.646352,8.048792,7.615396,8.048792,84800,0.247655
1991-10-09,8.048792,8.048792,7.986878,8.048792,79400,0.247655
1991-10-10,7.986878,8.017835,7.924964,7.924964,159600,0.247655
1991-10-11,7.924964,7.986878,7.924964,7.955921,40800,0.247655
1991-10-14,7.986878,7.986878,7.924964,7.955921,149000,0.247655
1991-10-15,7.955921,7.986878,7.924964,7.924964,490600,0.247655
1991-10-16,7.986878,8.048792,7.955921,8.017835,200800,0.247655
1991-10-17,8.017835,8.017835,7.955921,7.986878,270400,0.247655
1991-10-18,7.986878,8.017835,7.955921,7.955921,158000,0.247655
1991-10-21,7.986877,7.986877,7.801136,7.832093,214600,0.247655
1991-10-22,7.832093,7.924963,7.770179,7.770179,434800,0.247655
1991-10-23,7.770179,7.770179,7.522524,7.553481,457800,0.247655
1991-10-24,7.553481,7.584438,7.36774,7.522524,339200,0.247655
1991-10-25,7.522524,7.677309,7.491568,7.646352,307400,0.247655
1991-10-28,7.646352,7.677309,7.584438,7.646352,192800,0.247655
1991-10-29,7.646352,8.017835,7.646352,8.017835,463400,0.247655
1991-10-30,8.017835,8.172619,7.986878,8.172619,231600,0.247655
1991-10-31,8.172619,8.203576,8.141662,8.141662,69200,0.247655
1991-11-01,8.141663,8.172619,8.017835,8.017835,187200,0.247655
1991-11-04,7.955921,8.017835,7.955921,8.017835,333600,0.247655
1991-11-05,7.986878,8.017835,7.986878,8.017835,129200,0.247655
1991-11-06,8.017835,8.048792,7.986878,8.048792,75200,0.247655
1991-11-07,8.048791,8.451231,8.048791,8.420274,156800,0.247655
1991-11-08,8.389317,8.451231,8.35836,8.389317,271400,0.247655
1991-11-11,8.389318,8.389318,8.296447,8.327404,108200,0.247655
1991-11-12,8.35836,8.698886,8.327403,8.698886,227800,0.247655
1991-11-13,8.698886,8.7608,8.667929,8.698886,199800,0.247655
1991-11-14,8.698886,8.698886,8.575058,8.667929,145600,0.247655
1991-11-15,8.66793,8.66793,8.296447,8.296447,155800,0.247655
1991-11-18,8.296447,8.327404,8.26549,8.327404,220600,0.247655
1991-11-19,8.327404,8.327404,8.172619,8.203576,269200,0.247655
