date,open,high,low,close,volume,adjrate
1997-09-17,4.104574,4.318726,4.104574,4.158112,29185400,0.142768
1997-09-18,4.21165,4.30088,4.175958,4.30088,6731900,0.142768
1997-09-19,4.291957,4.425802,4.291957,4.318726,3440200,0.142768
1997-09-22,4.283035,4.336573,4.274112,4.283035,5831100,0.142768
1997-09-23,4.283035,4.300881,4.274112,4.283035,2738600,0.142768
1997-09-24,4.291958,4.300881,4.274112,4.283035,2575600,0.142768
1997-09-25,4.283035,4.345496,4.283035,4.345496,1006000,0.142768
1997-09-26,4.336572,4.461494,4.327649,4.452571,1636400,0.142768
1997-09-29,4.461494,4.515032,4.461494,4.515032,1708100,0.142768
1997-09-30,4.559647,4.764876,4.550724,4.622108,4639300,0.142768
1997-10-01,4.631031,4.631031,4.425802,4.425802,3525900,0.142768
1997-10-02,4.443648,4.452571,4.354418,4.407956,1870600,0.142768
1997-10-03,4.452571,4.497186,4.425802,4.470417,2065400,0.142768
1997-10-06,4.452571,4.604262,4.452571,4.56857,7842500,0.142768
1997-10-07,4.604262,4.675646,4.372264,4.443648,21602200,0.142768
1997-10-08,4.443648,4.461494,4.354418,4.381187,16664700,0.142768
1997-10-09,4.372264,4.56857,4.291958,4.559647,12844500,0.142768
1997-10-10,4.407956,4.559647,4.39011,4.506109,10309000,0.142768
1997-10-13,4.515032,4.577493,4.506109,4.577493,10521000,0.142768
1997-10-14,4.541801,4.631031,4.532878,4.550724,17077000,0.142768
1997-10-15,4.443648,4.541801,4.443648,4.532878,9048700,0.142768
1997-10-16,4.56857,4.586416,4.497186,4.532878,9002600,0.142768
1997-10-17,4.461494,4.47934,4.327649,4.452571,6431400,0.142768
1997-10-20,4.434725,4.631031,4.434725,4.604262,7995500,0.142768
1997-10-21,4.56857,4.880875,4.56857,4.791645,9219500,0.142768
1997-10-22,4.711338,4.764876,4.6578,4.711338,5610700,0.142768
1997-10-23,4.639954,4.720261,4.604262,4.711338,7688900,0.142768
1997-10-24,4.720261,4.74703,4.631031,4.711338,5598500,0.142768
1997-10-27,4.639954,4.648877,4.372264,4.443648,6699100,0.142768
1997-10-28,4.30088,4.515032,4.158112,4.416879,4660400,0.142768
1997-10-29,4.434725,4.497186,4.309803,4.327649,3286100,0.142768
1997-10-30,4.158112,4.309803,4.158112,4.21165,4901900,0.142768
1997-10-31,4.21165,4.354418,4.202727,4.327649,5334200,0.142768
1997-11-03,4.354418,4.39011,4.291957,4.354418,5457200,0.142768
1997-11-04,4.318726,4.363341,4.265188,4.30088,5850000,0.142768
1997-11-05,4.283034,4.354418,4.265188,4.309803,6205000,0.142768
1997-11-06,4.318726,4.56857,4.300881,4.515032,6185500,0.142768
1997-11-07,4.497186,4.631031,4.425802,4.56857,6055900,0.142768
1997-11-10,4.604262,4.907644,4.586416,4.827337,5481700,0.142768
1997-11-11,4.675646,4.800568,4.675646,4.782722,4125100,0.142768
1997-11-12,4.74703,4.782722,4.684569,4.684569,4147400,0.142768
1997-11-13,4.702415,4.809491,4.702415,4.782722,6960000,0.142768
1997-11-14,4.889797,5.139641,4.871952,5.032565,11075700,0.142768
1997-11-17,5.068258,5.175334,5.032566,5.041489,5030400,0.142768
1997-11-18,5.01472,5.041489,4.800568,4.827337,5827200,0.142768
1997-11-19,4.800568,4.889798,4.764876,4.854106,6024100,0.142768
1997-11-20,4.854106,4.898721,4.83626,4.871952,6341300,0.142768
1997-11-21,4.863029,4.943336,4.854106,4.92549,3088000,0.142768
1997-11-24,4.854106,4.92549,4.782722,4.782722,3880900,0.142768
1997-11-25,4.791645,4.809491,4.639954,4.675646,3297800,0.142768
1997-11-26,4.639954,4.764876,4.639954,4.738107,2655100,0.142768
1997-11-28,4.729184,4.854106,4.729184,4.827337,1169000,0.142768
1997-12-01,4.907644,4.907644,4.827337,4.854106,3024000,0.142768
1997-12-02,4.889798,4.889798,4.800568,4.863029,4351600,0.142768
1997-12-03,4.854106,4.961182,4.854106,4.952259,2006900,0.142768
