date,open,high,low,close,volume,adjrate
2001-07-25,28.226636,29.614048,28.226636,28.475413,2439400,0.956835
2001-07-26,27.652534,27.652534,26.791382,26.887066,2675400,0.956835
2001-07-27,26.98275,27.757785,26.98275,27.174116,1398200,0.956835
2001-07-30,27.174117,27.317641,27.174117,27.231526,766900,0.956835
2001-07-31,27.231526,27.413326,27.202822,27.365484,974600,0.956835
2001-08-01,27.748217,28.561527,27.748217,28.226635,1863700,0.956835
2001-08-02,28.207498,28.418003,27.2698,27.413325,785000,0.956835
2001-08-03,27.174117,27.22196,26.695699,26.791383,1204500,0.956835
2001-08-06,26.791382,26.98275,26.121597,26.561742,1565500,0.956835
2001-08-07,27.2698,29.18347,26.98275,28.647643,7815800,0.956835
2001-08-08,28.418002,28.465843,26.839223,27.451599,5274500,0.956835
2001-08-09,26.887066,27.221959,26.360806,27.135844,2996900,0.956835
2001-08-10,26.791383,27.126275,26.245987,26.791383,3193700,0.956835
2001-08-13,26.552174,26.647857,25.691022,26.121597,4809800,0.956835
2001-08-14,26.121597,26.887066,26.025915,26.504333,3667700,0.956835
2001-08-15,26.552173,27.174116,26.504333,26.867929,2622100,0.956835
2001-08-16,26.820089,26.887066,26.121597,26.887066,2132100,0.956835
2001-08-17,26.504333,26.791383,25.384836,26.791383,1747200,0.956835
2001-08-20,26.45649,26.523467,25.643179,26.025915,2066600,0.956835
2001-08-21,26.025916,26.255556,25.930232,26.159872,1870500,0.956835
2001-08-22,25.930231,26.083325,25.260447,26.083325,2549800,0.956835
2001-08-23,25.978073,26.016347,25.576202,25.595339,2343000,0.956835
2001-08-24,25.116921,25.566632,24.925553,25.537929,1909700,0.956835
2001-08-27,25.451813,25.643179,25.164761,25.509223,1461800,0.956835
2001-08-28,24.973397,25.164763,24.743757,24.89685,2378300,0.956835
2001-08-29,24.896849,25.595338,24.829871,25.260446,2020500,0.956835
2001-08-30,25.260446,26.121596,25.260446,25.786706,2443000,0.956835
2001-08-31,25.643179,26.025915,25.356129,26.025915,1447500,0.956835
2001-09-04,25.93023,26.791382,25.920662,26.580879,1697200,0.956835
2001-09-05,26.45649,26.62872,25.978072,26.45649,1655000,0.956835
2001-09-06,26.360806,26.408649,25.834548,26.064188,2030900,0.956835
2001-09-07,25.356129,26.666994,25.260446,25.509223,1748200,0.956835
2001-09-10,25.356129,25.671885,25.164761,25.29872,1020100,0.956835
2001-09-17,24.016561,24.915987,23.710374,24.160086,1665200,0.956835
2001-09-18,24.160086,24.265339,23.633828,24.016561,1687700,0.956835
2001-09-19,23.729509,24.992534,23.729509,23.940014,1494700,0.956835
2001-09-20,23.920878,25.346562,23.786922,24.638504,1993600,0.956835
2001-09-21,23.920877,25.691022,23.873036,24.734187,1945900,0.956835
2001-09-24,24.686345,25.882388,24.686345,25.547498,1803600,0.956835
2001-09-25,25.547498,25.824979,24.877712,25.164762,1586600,0.956835
2001-09-26,25.116922,25.82498,25.116922,25.64318,1020600,0.956835
2001-09-27,25.451813,26.408648,25.451813,25.834547,1637300,0.956835
2001-09-28,25.834548,26.791383,25.786707,26.552174,1019000,0.956835
2001-10-01,26.552173,27.422893,26.312965,26.896635,1090300,0.956835
2001-10-02,26.934908,27.509009,26.906204,27.317641,1174400,0.956835
2001-10-03,27.317641,27.652534,27.116707,27.55685,814200,0.956835
2001-10-04,27.556849,27.748217,27.088,27.614261,1239600,0.956835
2001-10-05,27.461169,27.939586,27.317641,27.796059,1076400,0.956835
2001-10-08,27.652534,27.690809,27.2698,27.480303,398600,0.956835
2001-10-09,27.269801,27.499441,27.269801,27.470735,797100,0.956835
2001-10-10,27.413325,28.035267,27.375053,27.757786,717100,0.956835
2001-10-11,27.757786,28.465844,27.757786,28.150088,1052100,0.956835
2001-10-12,27.652534,28.532822,27.652534,28.532822,1221500,0.956835
2001-10-15,28.456276,28.752894,28.293614,28.484981,720900,0.956835
2001-10-16,28.418003,28.685916,27.949152,28.657212,1052000,0.956835
2001-10-17,28.685916,28.743327,28.465844,28.676347,1675400,0.956835
2001-10-18,27.2698,27.796058,27.260231,27.575987,1677900,0.956835
2001-10-19,27.604692,28.178794,27.604692,28.111814,590600,0.956835
2001-10-22,28.130952,28.49455,28.016132,28.465844,462100,0.956835
2001-10-23,28.465844,28.705052,28.465844,28.504118,1017600,0.956835
2001-10-24,28.561528,28.800736,28.389297,28.657212,529000,0.956835
2001-10-25,28.561527,28.915555,28.130951,28.31275,703800,0.956835
2001-10-26,28.274476,28.284044,27.509009,27.757786,893500,0.956835
2001-10-29,27.748217,28.083109,26.743541,27.939585,1239000,0.956835
2001-10-30,28.418004,29.183471,28.178795,28.800737,3428500,0.956835
2001-10-31,29.614047,29.805413,29.279154,29.575773,1543100,0.956835
2001-11-01,30.140305,30.140305,29.575772,30.05419,821900,0.956835
2001-11-02,29.99678,31.336349,29.948937,30.331673,947600,0.956835
2001-11-05,30.436924,30.475198,29.575773,29.681025,1002100,0.956835
2001-11-06,29.709728,30.599586,28.724189,30.417788,1155300,0.956835
2001-11-07,29.279154,30.810091,29.231311,30.398651,1428500,0.956835
2001-11-08,30.494336,30.503902,29.279154,29.279154,861200,0.956835
2001-11-09,28.992102,29.384405,28.609369,28.714621,1209100,0.956835
2001-11-12,28.752893,28.791168,28.42757,28.685916,663600,0.956835
2001-11-13,28.705053,29.231311,28.705053,28.95383,772400,0.956835
2001-11-14,28.944261,29.661888,28.89642,29.566204,931800,0.956835
2001-11-15,29.661888,29.700163,28.666779,28.72419,995800,0.956835
