date,open,high,low,close,volume,adjrate
1990-03-26,2.093428,2.13184,2.093428,2.13184,21600,0.076823
1990-03-27,2.15986,2.15986,2.15986,2.15986,0,0.077833
1990-03-28,2.15986,2.179318,2.120944,2.15986,46400,0.077833
1990-03-29,2.179318,2.179318,2.15986,2.15986,26400,0.077833
1990-03-30,2.120943,2.120943,2.120943,2.120943,800,0.077833
1990-04-02,2.169592,2.169592,2.15986,2.15986,72000,0.077833
1990-04-03,2.15986,2.15986,2.15986,2.15986,0,0.077833
1990-04-04,2.218234,2.218234,2.140401,2.140401,65600,0.077833
1990-04-05,2.179317,2.179317,2.140401,2.140401,98400,0.077833
1990-04-06,2.140401,2.140401,2.101485,2.101485,285600,0.077833
1990-04-09,2.101485,2.101485,2.101485,2.101485,10400,0.077833
1990-04-10,2.140401,2.140401,2.101485,2.101485,6400,0.077833
1990-04-11,2.140402,2.15986,2.101485,2.15986,171200,0.077833
1990-04-12,2.140401,2.179317,2.140401,2.140401,53600,0.077833
1990-04-16,2.140402,2.169592,2.140402,2.15986,33600,0.077833
1990-04-17,2.140401,2.159859,2.140401,2.140401,72000,0.077833
1990-04-18,2.179318,2.189044,2.140402,2.179318,258400,0.077833
1990-04-19,2.179318,2.179318,2.140402,2.169592,441600,0.077833
1990-04-20,2.179317,2.179317,2.120943,2.140401,124800,0.077833
1990-04-23,2.120944,2.15986,2.120944,2.15986,18400,0.077833
1990-04-24,2.150127,2.150127,2.140401,2.140401,16000,0.077833
1990-04-25,2.159859,2.159859,2.140401,2.150127,1924800,0.077833
1990-04-26,2.257151,2.257151,2.257151,2.257151,1600,0.077833
1990-04-27,2.15986,2.257151,2.15986,2.198776,20000,0.077833
1990-04-30,2.257151,2.296067,2.257151,2.296067,20000,0.077833
1990-05-01,2.198776,2.315525,2.198776,2.276609,132000,0.077833
1990-05-02,2.315526,2.354442,2.296067,2.354442,87200,0.077833
1990-05-03,2.296067,2.354442,2.257151,2.257151,160000,0.077833
1990-05-04,2.334984,2.334984,2.257151,2.266877,72800,0.077833
1990-05-07,2.257151,2.266877,2.257151,2.266877,7200,0.077833
1990-05-08,2.257151,2.257151,2.257151,2.257151,56800,0.077833
1990-05-09,2.25715,2.276608,2.179317,2.237692,29600,0.077833
1990-05-10,2.179318,2.208508,2.179318,2.208508,139200,0.077833
1990-05-11,2.208508,2.218234,2.179318,2.208508,38400,0.077833
1990-05-14,2.208508,2.276609,2.179318,2.276609,30400,0.077833
1990-05-15,2.179318,2.276609,2.179318,2.198776,21600,0.077833
1990-05-16,2.198776,2.218234,2.198776,2.218234,45600,0.077833
1990-05-17,2.198776,2.22796,2.198776,2.218234,115200,0.077833
1990-05-18,2.198776,2.247425,2.198776,2.198776,20000,0.077833
1990-05-21,2.198776,2.218234,2.198776,2.198776,12800,0.077833
1990-05-22,2.25715,2.25715,2.218234,2.218234,12000,0.077833
1990-05-23,2.218234,2.218234,2.218234,2.218234,1600,0.077833
1990-05-24,2.218234,2.218234,2.218234,2.218234,8800,0.077833
1990-05-25,2.218234,2.218234,2.218234,2.218234,800,0.077833
1990-05-29,2.218234,2.218234,2.218234,2.218234,4000,0.077833
1990-05-30,2.218234,2.25715,2.218234,2.22796,56000,0.077833
1990-05-31,2.266877,2.296067,2.247425,2.296067,21600,0.077833
1990-06-01,2.218234,2.218234,2.218234,2.218234,16000,0.077833
1990-06-04,2.218234,2.218234,2.218234,2.218234,11200,0.077833
1990-06-05,2.218234,2.247424,2.218234,2.237692,25600,0.077833
1990-06-06,2.237693,2.276609,2.237693,2.276609,67200,0.077833
1990-06-07,2.25715,2.315525,2.25715,2.315525,3200,0.077833
1990-06-08,2.237692,2.247424,2.237692,2.237692,9600,0.077833
1990-06-11,2.237693,2.257151,2.237693,2.257151,11200,0.077833
1990-06-12,2.237692,2.237692,2.237692,2.237692,8000,0.077833
1990-06-13,2.257151,2.276609,2.257151,2.257151,85600,0.077833
1990-06-14,2.266877,2.266877,2.266877,2.266877,5600,0.077833
1990-06-15,2.257151,2.315526,2.257151,2.257151,16000,0.077833
1990-06-18,2.257151,2.315525,2.257151,2.286341,72800,0.077833
1990-06-19,2.257151,2.257151,2.237693,2.247425,79200,0.077833
1990-06-20,2.237692,2.25715,2.218234,2.218234,97600,0.077833
1990-06-21,2.198776,2.257151,2.198776,2.247425,8000,0.077833
1990-06-22,2.247425,2.247425,2.198776,2.198776,37600,0.077833
1990-06-25,2.198776,2.22796,2.198776,2.198776,80000,0.077833
1990-06-26,2.198776,2.208508,2.198776,2.208508,113600,0.077833
1990-06-27,2.286156,2.286156,2.227031,2.227031,13600,0.078833
1990-06-28,2.227031,2.227031,2.227031,2.227031,1600,0.078833
1990-06-29,2.227031,2.286156,2.227031,2.25659,16000,0.078833
1990-07-02,2.246739,2.286156,2.227031,2.227031,28800,0.078833
1990-07-03,2.286155,2.286155,2.286155,2.286155,8800,0.078833
1990-07-05,2.207323,2.266448,2.207323,2.207323,3200,0.078833
1990-07-06,2.266447,2.286155,2.266447,2.286155,7200,0.078833
1990-07-09,2.266447,2.266447,2.167906,2.167906,60000,0.078833
1990-07-10,2.167906,2.246739,2.167906,2.246739,19200,0.078833
1990-07-11,2.246739,2.246739,2.187614,2.187614,96000,0.078833
1990-07-12,2.187614,2.266447,2.187614,2.266447,128800,0.078833
1990-07-13,2.266448,2.266448,2.207323,2.207323,23200,0.078833
1990-07-16,2.207323,2.266448,2.207323,2.207323,31200,0.078833
1990-07-17,2.207323,2.227031,2.207323,2.227031,17600,0.078833
1990-07-18,2.207323,2.207323,2.207323,2.207323,800,0.078833
1990-07-19,2.207323,2.207323,2.207323,2.207323,0,0.078833
1990-07-20,2.266448,2.266448,2.207323,2.207323,5600,0.078833
1990-07-23,2.227031,2.246739,2.227031,2.246739,83200,0.078833
1990-07-24,2.266447,2.266447,2.227031,2.227031,36000,0.078833
1990-07-25,2.227031,2.246739,2.227031,2.227031,41600,0.078833
1990-07-26,2.227031,2.236888,2.227031,2.236888,40800,0.078833
1990-07-27,2.286155,2.286155,2.286155,2.286155,800,0.078833
1990-07-30,2.266448,2.305864,2.246739,2.305864,25600,0.078833
1990-07-31,2.305863,2.384696,2.305863,2.355137,365600,0.078833
1990-08-01,2.404404,2.404404,2.325571,2.355137,52000,0.078833
1990-08-02,2.325572,2.384697,2.325572,2.384697,302400,0.078833
1990-08-03,2.34528,2.34528,2.286155,2.34528,353600,0.078833
1990-08-06,2.325572,2.325572,2.217173,2.246739,412000,0.078833
1990-08-07,2.207323,2.286156,2.207323,2.207323,5600,0.078833
1990-08-08,2.207323,2.207323,2.207323,2.207323,0,0.078833
1990-08-09,2.207323,2.207323,2.207323,2.207323,0,0.078833
1990-08-10,2.187615,2.207323,2.167907,2.207323,37600,0.078833
1990-08-13,2.167906,2.187614,2.167906,2.177757,168800,0.078833
1990-08-14,2.207323,2.207323,2.148198,2.148198,6400,0.078833
1990-08-15,2.148198,2.167906,2.148198,2.167906,42400,0.078833
1990-08-16,2.148198,2.148198,2.148198,2.148198,4000,0.078833
1990-08-17,2.148198,2.158056,2.12849,2.12849,33600,0.078833
1990-08-20,2.148198,2.148198,2.148198,2.148198,2400,0.078833
1990-08-21,2.138341,2.187615,2.12849,2.12849,61600,0.078833
1990-08-22,2.089073,2.089073,2.089073,2.089073,12000,0.078833
1990-08-23,2.089073,2.089073,1.970824,1.970824,96000,0.078833
1990-08-24,1.931408,2.049657,1.931408,2.049657,48000,0.078833
1990-08-27,2.049657,2.049657,1.990532,1.990532,5600,0.078833
1990-08-28,2.049657,2.049657,1.970824,1.970824,80800,0.078833
1990-08-29,2.01024,2.01024,1.990532,1.990532,10400,0.078833
1990-08-30,1.990532,1.990532,1.990532,1.990532,4800,0.078833
1990-08-31,1.990532,1.990532,1.970824,1.970824,7200,0.078833
1990-09-04,1.970824,1.970824,1.970824,1.970824,1600,0.078833
1990-09-05,2.01024,2.049657,1.970824,1.970824,28800,0.078833
1990-09-06,2.049657,2.049657,1.970824,1.970824,19200,0.078833
1990-09-07,1.990532,1.990532,1.990532,1.990532,12000,0.078833
1990-09-10,2.049657,2.049657,1.980675,1.980675,10400,0.078833
1990-09-11,1.970824,1.970824,1.970824,1.970824,800,0.078833
1990-09-12,1.970824,1.970824,1.970824,1.970824,4000,0.078833
1990-09-13,1.970824,1.970824,1.970824,1.970824,0,0.078833
1990-09-14,1.970824,1.970824,1.970824,1.970824,9600,0.078833
1990-09-17,2.049657,2.049657,1.970824,1.970824,12000,0.078833
1990-09-18,1.970824,2.049657,1.970824,1.970824,29600,0.078833
1990-09-19,1.970824,1.970824,1.970824,1.970824,0,0.078833
1990-09-20,2.01024,2.01024,1.990532,1.990532,5600,0.078833
1990-09-21,1.990532,1.990532,1.990532,1.990532,0,0.078833
1990-09-24,1.970824,2.01024,1.970824,1.970824,655200,0.078833
1990-09-25,1.999618,2.029616,1.979622,1.979622,34400,0.079985
1990-09-26,2.059607,2.059607,2.019615,2.039611,54400,0.079985
1990-09-27,2.039611,2.039611,1.979622,1.979622,166400,0.079985
1990-09-28,1.979622,2.03961,1.959626,1.989623,48000,0.079985
1990-10-01,1.979622,2.019614,1.979622,1.979622,130400,0.079985
1990-10-02,2.019614,2.059606,2.019614,2.019614,15200,0.079985
1990-10-03,1.999618,1.999618,1.999618,1.999618,800,0.079985
1990-10-04,1.999618,1.999618,1.999618,1.999618,8800,0.079985
1990-10-05,1.999618,1.999618,1.999618,1.999618,4800,0.079985
1990-10-08,1.999618,1.999618,1.999618,1.999618,6400,0.079985
1990-10-09,1.999618,2.059607,1.999618,1.999618,66400,0.079985
1990-10-10,2.019615,2.059607,1.999618,2.059607,128000,0.079985
1990-10-11,1.999618,2.009613,1.999618,1.999618,87200,0.079985
1990-10-12,1.999618,1.999618,1.959626,1.959626,7200,0.079985
1990-10-15,2.039611,2.039611,1.979622,1.979622,81600,0.079985
1990-10-16,2.03961,2.03961,1.999618,1.999618,40000,0.079985
1990-10-17,1.999618,1.999618,1.999618,1.999618,0,0.079985
1990-10-18,2.039611,2.049606,1.999619,2.039611,48000,0.079985
1990-10-19,2.059606,2.059606,2.019614,2.019614,36000,0.079985
1990-10-22,2.019614,2.019614,2.019614,2.019614,32800,0.079985
1990-10-23,2.059607,2.059607,2.019615,2.039611,288000,0.079985
1990-10-24,2.059607,2.059607,2.039611,2.059607,101600,0.079985
1990-10-25,2.039611,2.079603,2.039611,2.059607,72000,0.079985
1990-10-26,2.059607,2.139592,2.059607,2.079603,145600,0.079985
1990-10-29,2.079603,2.119595,2.059607,2.089598,107200,0.079985
1990-10-30,2.119596,2.119596,2.059607,2.059607,25600,0.079985
1990-10-31,2.119595,2.119595,2.079603,2.079603,17600,0.079985
1990-11-01,2.079603,2.159588,2.079603,2.099599,212000,0.079985
1990-11-02,2.099599,2.159588,2.099599,2.159588,27200,0.079985
1990-11-05,2.159588,2.159588,2.159588,2.159588,0,0.079985
1990-11-06,2.119596,2.139592,2.119596,2.139592,24000,0.079985
1990-11-07,2.179584,2.199581,2.139592,2.139592,56000,0.079985
1990-11-08,2.139592,2.169583,2.139592,2.169583,11200,0.079985
1990-11-09,2.139591,2.219576,2.139591,2.219576,19200,0.079985
1990-11-12,2.179584,2.259569,2.179584,2.19958,54400,0.079985
1990-11-13,2.279565,2.379546,2.279565,2.35955,128800,0.079985
1990-11-14,2.299561,2.339553,2.299561,2.339553,3200,0.079985
1990-11-15,2.309562,2.309562,2.279565,2.279565,40000,0.079985
1990-11-16,2.279565,2.319557,2.279565,2.279565,15200,0.079985
1990-11-19,2.319557,2.339553,2.319557,2.339553,2400,0.079985
